"expid","peakid","year","season","host","route1","route2","route3","route4","nation","leaders","sponsor","success1","success2","success3","success4","ascent1","ascent2","ascent3","ascent4","claimed","disputed","countries","approach","bcdate","smtdate","smttime","smtdays","totdays","termdate","termreason","termnote","highpoint","traverse","ski","parapente","camps","rope","totmembers","smtmembers","mdeaths","tothired","smthired","hdeaths","nohired","o2used","o2none","o2climb","o2descent","o2sleep","o2medical","o2taken","o2unkwn","othersmts","campsites","accidents","achievment","agency","comrte","stdrte","primrte","primmem","primref","primid"
"PK2963301","PK29","1963","3","1","E Ridge","","","","Japan","Hirokazu Kimura","Japanese Himalaya Expedition of Osaka University 1963","false","false","false","false","","","","","false","false","","","10/11/63","10/29/63","","18","0","  -   -","10","Abandoned at 6300m due to route difficulties and lack of food","6300","false","false","false","4","0","5","0","0","4","0","0","false","false","true","false","false","false","false","false","false","","""BC(11/10,4200m),C1(4500m),C2(20/10,5100m),C3(24/10,5700m),C4(29/10,6000m),xxx(6300m)""","","","","false","false","false","false","false",""
"NEMJ63101","NEMJ","1963","1","1","E Ridge from SW","","","","Japan","Hisachika Zengyo","Nippon Telegraph & Telephone Public Corporation","false","false","false","false","","","","","false","false","","","4/12/63","5/13/63","","31","0","  -   -","4","Abandoned at 6800m due to bad weather and shortage of rope","6800","false","false","false","4","0","7","0","0","7","0","0","false","true","false","false","false","false","false","false","false","","""BC(12/04,4200m),C1(17/04,5100m),C2(01/05,5600m),C3(05/05,6200m),C4(09/05),xxx(13/05,6800m)""","","","","false","false","false","false","false",""
"NUMB63101","NUMB","1963","1","1","SW Ridge","","","","Japan","Makoto Numata","Chiba University","true","false","false","false","1st","","","","false","false","Switzerland","Banepa->Junbesi","5/1/63","5/29/63","1250","28","30","5/31/63","1","","6958","false","false","false","5","0","7","1","0","3","1","0","false","false","true","false","false","false","false","false","false","","""BC(01/05,4000m),C1(05/05,4600m),C2(10/05,4600m),C3(15/05,5200m),C4(17/05,5600m),C5(28/05,6200m),Smt(29/05)""","","","","false","false","false","false","false",""
"GHEN63101","GHEN","1963","1","1","E Face","","","","UK","Peter Taylor","","true","false","false","false","1st","","","","false","false","","","5/23/63","5/28/63","","5","10","6/2/63","1","","6596","false","false","false","2","0","2","1","0","2","2","0","false","false","true","false","false","false","false","false","false","","""BC(23/05,4725m),Biv(24/05,5640m),C1(26/05),C2(27/05,6400m),Smt(28/05)""","","Reached summit of Ghenge Liru (not Langtang Lirung)","","false","false","false","false","false",""
"KTEG63101","KTEG","1963","1","1","SE Face","","","","New Zealand","Edmund Hillary","Himalayan Schoolhouse Expedition","true","false","false","false","1st","","","","false","false","""India, UK, USA""","","6/2/63","6/5/63","","3","4","6/6/63","1","","6783","false","false","false","0","0","9","4","0","5","0","0","false","false","true","false","false","false","false","false","false","Attempted Tawoche (TAWO-631-01)","""BC1(02/06),BC2(03/06,5180m),C1(04/06,6190m),Smt(05/06)""","","","","false","false","false","false","false",""
"GYAC62101","GYAC","1962","1","1","","","","","USA","Woodrow Wilson Sayre","","false","false","false","false","","","","","false","false","Switzerland","","","","","0","0","  -   -","12","Had permit but attempted Everest illegally instead","0","false","false","false","0","0","4","0","0","0","0","0","true","false","true","false","false","false","false","false","false","Attempted Everest (EVER-621-02)","","","","","false","false","true","true","true","EVER62102"
"PUMO61401","PUMO","1961","4","1","SE Face-NE Ridge","","","","Switzerland","Werner Staeuble","","false","false","false","false","","","","","false","false","W Germany","","","12/7/61","","0","0","  -   -","6","","6300","false","false","false","0","0","2","0","1","9","0","1","false","false","true","false","false","false","false","false","false","","""xxx(07/12,6300m?)""","Leader and 1 Sherpa killed in fall","","","false","false","false","false","false",""
"EVER60101","EVER","1960","1","1","S Col","","","","India","Gyan Singh","","false","false","false","false","","","","","false","false","Nepal","Khumbu Valley","4/5/60","5/25/60","","50","55","5/30/60","4","Abandoned at 8625m due to high winds","8625","false","false","false","7","0","22","0","0","10","0","0","false","true","false","true","false","true","false","false","false","Attempted Tawoche (to 5600m)","""BC(05/04,5450m),C1(10/04,5850m),C2(15/04,6100m),C3.ABC(17/04,6460m),C4(19/04,6700m),C5(02/05,7300m),C6(09/05,7950m),C7(24/05,8400m),xxx(25/05,8625m)""","","","","true","true","false","false","false",""
"AMAD61101","AMAD","1961","1","1","SW Ridge","","","","New Zealand","Edmund Hillary","Himalayan Scientific and Mountaineering Expedition","true","false","false","false","1st","","","","false","false","""UK, USA""","","","3/13/61","1400","0","0","  -   -","1","","6814","false","false","false","4","0","5","4","0","0","0","0","true","false","true","false","false","false","false","false","false","""Climbed Ombigaichen (OMBG-603-01) and Island Peak (IMJA-603-01), recon Lhotse Shar (LSHR-603-01) and Shartse (SHAR-603-01); attempted Makalu (MAKA-611-01)""","""BC(4575m),C1(5800m),C2,C3,C4,Smt(13/03)""","","1st ascent","","true","false","true","true","true","MAKA61101"
"ANN161101","ANN1","1961","1","1","W side","","","","W Germany","Fritz Stammberger","","false","false","false","false","","","","","false","false","","","","","","0","0","  -   -","14","Termination reason unknown","6000","false","false","false","0","0","1","0","0","0","0","0","false","false","true","false","false","false","false","false","false","","xxx(6000m)","","","","false","false","false","false","false",""
